Compt_ID,year,month,tmp_min
Nyalazi_B032,2008,1,20.57201164
Palm_Ridge_C15a,2008,1,20.51006382
Futululu_E6a,2008,1,20.48811135
Mtubatuba_B003,2008,1,20.57754558
Trust_D13,2008,1,20.42259253
Trust_E23,2008,1,20.60525272
Trust_E24,2008,1,20.57631795
Mavuya_B3a,2008,1,20.63926537
Salpine_G22,2008,1,20.97242488
Salpine_G33,2008,1,20.70806536
Salpine_F7,2008,1,20.609913
Kwambo_F011A,2008,1,20.38744041
Nseleni_J006,2008,1,20.71102688
Terranera_B38,2008,1,20.23841683
South_Areas_B35b,2008,1,20.3240558
Kwambo_A017,2008,1,20.61057255
Teranera_C55,2008,1,20.71137762
Port_Durnford_B044,2008,1,20.55903203
Nyalazi_B032,2008,2,20.25567541
Palm_Ridge_C15a,2008,2,20.13860151
Futululu_E6a,2008,2,20.16551395
Mtubatuba_B003,2008,2,20.21268584
Trust_D13,2008,2,20.13328396
Trust_E23,2008,2,20.20982465
Trust_E24,2008,2,20.21582323
Mavuya_B3a,2008,2,20.314052
Salpine_G22,2008,2,20.73516278
Salpine_G33,2008,2,20.42154859
Salpine_F7,2008,2,20.48274346
Kwambo_F011A,2008,2,20.23021598
Nseleni_J006,2008,2,20.37206345
Terranera_B38,2008,2,20.02576033
South_Areas_B35b,2008,2,20.09313675
Kwambo_A017,2008,2,20.50489482
Teranera_C55,2008,2,20.45395142
Port_Durnford_B044,2008,2,20.57405264
Nyalazi_B032,2008,3,18.99575533
Palm_Ridge_C15a,2008,3,18.28203854
Futululu_E6a,2008,3,19.12129719
Mtubatuba_B003,2008,3,19.09374992
Trust_D13,2008,3,19.15359286
Trust_E23,2008,3,19.15757888
Trust_E24,2008,3,19.14601815
Mavuya_B3a,2008,3,18.27066497
Salpine_G22,2008,3,19.78631831
Salpine_G33,2008,3,19.64323276
Salpine_F7,2008,3,18.63426395
Kwambo_F011A,2008,3,19.39953793
Nseleni_J006,2008,3,19.24038361
Terranera_B38,2008,3,19.31461997
South_Areas_B35b,2008,3,19.34980361
Kwambo_A017,2008,3,19.36031149
Teranera_C55,2008,3,19.40721309
Port_Durnford_B044,2008,3,19.59629011
Nyalazi_B032,2008,4,15.76241639
Palm_Ridge_C15a,2008,4,15.6304325
Futululu_E6a,2008,4,15.83468044
Mtubatuba_B003,2008,4,15.79409973
Trust_D13,2008,4,15.90195044
Trust_E23,2008,4,15.91368995
Trust_E24,2008,4,15.89873054
Mavuya_B3a,2008,4,15.80884702
Salpine_G22,2008,4,16.72508503
Salpine_G33,2008,4,16.42608162
Salpine_F7,2008,4,15.94241766
Kwambo_F011A,2008,4,15.9280076
Nseleni_J006,2008,4,15.85541234
Terranera_B38,2008,4,15.90179136
South_Areas_B35b,2008,4,15.79610905
Kwambo_A017,2008,4,15.9634304
Teranera_C55,2008,4,15.61245364
Port_Durnford_B044,2008,4,15.93366933
Nyalazi_B032,2008,5,14.72395151
Palm_Ridge_C15a,2008,5,14.50151652
Futululu_E6a,2008,5,14.77683077
Mtubatuba_B003,2008,5,14.77465393
Trust_D13,2008,5,14.69151345
Trust_E23,2008,5,14.74908356
Trust_E24,2008,5,14.76041628
Mavuya_B3a,2008,5,14.49755553
Salpine_G22,2008,5,15.51459675
Salpine_G33,2008,5,15.18744149
Salpine_F7,2008,5,14.66343752
Kwambo_F011A,2008,5,14.83611163
Nseleni_J006,2008,5,14.7951312
Terranera_B38,2008,5,14.8091698
South_Areas_B35b,2008,5,14.76998051
Kwambo_A017,2008,5,14.99774635
Teranera_C55,2008,5,14.67519249
Port_Durnford_B044,2008,5,15.12056863
Nyalazi_B032,2008,6,11.97695167
Palm_Ridge_C15a,2008,6,11.67999223
Futululu_E6a,2008,6,12.18770067
Mtubatuba_B003,2008,6,12.16956349
Trust_D13,2008,6,11.92542438
Trust_E23,2008,6,12.17910332
Trust_E24,2008,6,12.17688667
Mavuya_B3a,2008,6,11.78192719
Salpine_G22,2008,6,12.33442125
Salpine_G33,2008,6,12.23405354
Salpine_F7,2008,6,12.11611594
Kwambo_F011A,2008,6,12.14524076
Nseleni_J006,2008,6,12.30553307
Terranera_B38,2008,6,12.16188639
South_Areas_B35b,2008,6,12.0958191
Kwambo_A017,2008,6,12.12823729
Teranera_C55,2008,6,12.19106586
Port_Durnford_B044,2008,6,12.0674929
Nyalazi_B032,2008,7,11.8151126
Palm_Ridge_C15a,2008,7,11.46551462
Futululu_E6a,2008,7,11.95367172
Mtubatuba_B003,2008,7,11.95348689
Trust_D13,2008,7,11.64838485
Trust_E23,2008,7,11.97258696
Trust_E24,2008,7,11.96132422
Mavuya_B3a,2008,7,11.61461038
Salpine_G22,2008,7,12.13029739
Salpine_G33,2008,7,12.05034617
Salpine_F7,2008,7,12.01088063
Kwambo_F011A,2008,7,11.94302446
Nseleni_J006,2008,7,12.09306944
Terranera_B38,2008,7,11.95551274
South_Areas_B35b,2008,7,11.85198888
Kwambo_A017,2008,7,11.9399807
Teranera_C55,2008,7,11.99997349
Port_Durnford_B044,2008,7,11.86246796
Nyalazi_B032,2008,8,14.0659825
Palm_Ridge_C15a,2008,8,13.62065189
Futululu_E6a,2008,8,14.03492027
Mtubatuba_B003,2008,8,14.08577626
Trust_D13,2008,8,13.65360182
Trust_E23,2008,8,14.00445453
Trust_E24,2008,8,13.95057541
Mavuya_B3a,2008,8,13.74975935
Salpine_G22,2008,8,14.27577894
Salpine_G33,2008,8,14.15449887
Salpine_F7,2008,8,13.8007001
Kwambo_F011A,2008,8,13.50914464
Nseleni_J006,2008,8,14.18179641
Terranera_B38,2008,8,13.50547275
South_Areas_B35b,2008,8,13.61478242
Kwambo_A017,2008,8,14.23681157
Teranera_C55,2008,8,14.1988966
Port_Durnford_B044,2008,8,13.86820269
Nyalazi_B032,2008,9,13.98800046
Palm_Ridge_C15a,2008,9,13.56557386
Futululu_E6a,2008,9,13.97119408
Mtubatuba_B003,2008,9,14.02445463
Trust_D13,2008,9,13.58905405
Trust_E23,2008,9,13.93300533
Trust_E24,2008,9,13.87689211
Mavuya_B3a,2008,9,13.68493131
Salpine_G22,2008,9,14.13474688
Salpine_G33,2008,9,14.04768374
Salpine_F7,2008,9,13.78514466
Kwambo_F011A,2008,9,13.4536456
Nseleni_J006,2008,9,14.08181212
Terranera_B38,2008,9,13.44879864
South_Areas_B35b,2008,9,13.55105055
Kwambo_A017,2008,9,14.17349648
Teranera_C55,2008,9,14.11574589
Port_Durnford_B044,2008,9,13.82224129
Nyalazi_B032,2008,10,16.50432982
Palm_Ridge_C15a,2008,10,16.87399356
Futululu_E6a,2008,10,16.45200146
Mtubatuba_B003,2008,10,16.60634945
Trust_D13,2008,10,16.5460105
Trust_E23,2008,10,17.03168738
Trust_E24,2008,10,17.02476832
Mavuya_B3a,2008,10,17.00084445
Salpine_G22,2008,10,16.90395624
Salpine_G33,2008,10,17.0942893
Salpine_F7,2008,10,16.26589437
Kwambo_F011A,2008,10,15.97693937
Nseleni_J006,2008,10,17.01237593
Terranera_B38,2008,10,16.64239816
South_Areas_B35b,2008,10,16.68955774
Kwambo_A017,2008,10,16.19949265
Teranera_C55,2008,10,16.9018532
Port_Durnford_B044,2008,10,15.98755282
Nyalazi_B032,2008,11,19.28688273
Palm_Ridge_C15a,2008,11,19.81624737
Futululu_E6a,2008,11,19.08685944
Mtubatuba_B003,2008,11,19.06993789
Trust_D13,2008,11,20.01700412
Trust_E23,2008,11,19.6314263
Trust_E24,2008,11,19.65351029
Mavuya_B3a,2008,11,19.89234084
Salpine_G22,2008,11,20.06434663
Salpine_G33,2008,11,19.60919348
Salpine_F7,2008,11,18.67748104
Kwambo_F011A,2008,11,19.07268584
Nseleni_J006,2008,11,20.05675306
Terranera_B38,2008,11,19.69592563
South_Areas_B35b,2008,11,20.1278523
Kwambo_A017,2008,11,18.98260536
Teranera_C55,2008,11,20.1413318
Port_Durnford_B044,2008,11,18.34333531
Nyalazi_B032,2008,12,20.00776463
Palm_Ridge_C15a,2008,12,20.43292446
Futululu_E6a,2008,12,20.04781641
Mtubatuba_B003,2008,12,19.99308878
Trust_D13,2008,12,20.59724361
Trust_E23,2008,12,20.52887557
Trust_E24,2008,12,20.52169253
Mavuya_B3a,2008,12,20.4880816
Salpine_G22,2008,12,20.42974311
Salpine_G33,2008,12,20.30151153
Salpine_F7,2008,12,19.59695664
Kwambo_F011A,2008,12,19.91699243
Nseleni_J006,2008,12,20.64932567
Terranera_B38,2008,12,20.45263412
South_Areas_B35b,2008,12,20.63276509
Kwambo_A017,2008,12,19.90295003
Teranera_C55,2008,12,20.63633893
Port_Durnford_B044,2008,12,19.72265188
Nyalazi_B032,2009,1,21.09757219
Palm_Ridge_C15a,2009,1,20.97577103
Futululu_E6a,2009,1,20.89814677
Mtubatuba_B003,2009,1,20.97121205
Trust_D13,2009,1,21.37832973
Trust_E23,2009,1,21.19411557
Trust_E24,2009,1,21.20023376
Mavuya_B3a,2009,1,21.0670892
Salpine_G22,2009,1,21.50440881
Salpine_G33,2009,1,21.2685936
Salpine_F7,2009,1,20.62496867
Kwambo_F011A,2009,1,21.1417192
Nseleni_J006,2009,1,21.44699186
Terranera_B38,2009,1,21.43406172
South_Areas_B35b,2009,1,21.53521004
Kwambo_A017,2009,1,21.06080248
Teranera_C55,2009,1,21.4855443
Port_Durnford_B044,2009,1,20.61130673
Nyalazi_B032,2009,2,20.69421318
Palm_Ridge_C15a,2009,2,20.544741
Futululu_E6a,2009,2,20.43618684
Mtubatuba_B003,2009,2,20.45808533
Trust_D13,2009,2,20.95571479
Trust_E23,2009,2,20.70369029
Trust_E24,2009,2,20.73968089
Mavuya_B3a,2009,2,20.6708439
Salpine_G22,2009,2,21.08075407
Salpine_G33,2009,2,20.78103095
Salpine_F7,2009,2,20.28208014
Kwambo_F011A,2009,2,20.72642372
Nseleni_J006,2009,2,21.01179358
Terranera_B38,2009,2,21.00851995
South_Areas_B35b,2009,2,21.15911407
Kwambo_A017,2009,2,20.6892982
Teranera_C55,2009,2,21.12008666
Port_Durnford_B044,2009,2,20.47524909
Nyalazi_B032,2009,3,19.32177514
Palm_Ridge_C15a,2009,3,19.37562108
Futululu_E6a,2009,3,19.2036204
Mtubatuba_B003,2009,3,19.18823837
Trust_D13,2009,3,19.38217696
Trust_E23,2009,3,19.22400937
Trust_E24,2009,3,19.23736756
Mavuya_B3a,2009,3,19.50397627
Salpine_G22,2009,3,19.45743675
Salpine_G33,2009,3,19.29426859
Salpine_F7,2009,3,19.56413502
Kwambo_F011A,2009,3,19.31524835
Nseleni_J006,2009,3,19.27402642
Terranera_B38,2009,3,19.21202274
South_Areas_B35b,2009,3,19.27300863
Kwambo_A017,2009,3,19.51837893
Teranera_C55,2009,3,19.37105647
Port_Durnford_B044,2009,3,19.51533603
Nyalazi_B032,2009,4,16.68952583
Palm_Ridge_C15a,2009,4,16.59156546
Futululu_E6a,2009,4,16.56161347
Mtubatuba_B003,2009,4,16.56820629
Trust_D13,2009,4,16.43535118
Trust_E23,2009,4,16.67608567
Trust_E24,2009,4,16.68756459
Mavuya_B3a,2009,4,16.98209944
Salpine_G22,2009,4,17.09365691
Salpine_G33,2009,4,16.91248199
Salpine_F7,2009,4,16.91563626
Kwambo_F011A,2009,4,16.38303131
Nseleni_J006,2009,4,16.70170302
Terranera_B38,2009,4,16.37928024
South_Areas_B35b,2009,4,16.37534896
Kwambo_A017,2009,4,16.9311839
Teranera_C55,2009,4,16.82103911
Port_Durnford_B044,2009,4,17.01121029
Nyalazi_B032,2009,5,14.75187108
Palm_Ridge_C15a,2009,5,14.68710679
Futululu_E6a,2009,5,14.82214834
Mtubatuba_B003,2009,5,14.65276616
Trust_D13,2009,5,14.88731127
Trust_E23,2009,5,14.6843124
Trust_E24,2009,5,14.71600193
Mavuya_B3a,2009,5,14.76446481
Salpine_G22,2009,5,14.91798412
Salpine_G33,2009,5,14.58368944
Salpine_F7,2009,5,14.81827146
Kwambo_F011A,2009,5,14.72712956
Nseleni_J006,2009,5,15.13055973
Terranera_B38,2009,5,14.65997899
South_Areas_B35b,2009,5,14.91675298
Kwambo_A017,2009,5,15.03481941
Teranera_C55,2009,5,15.13879374
Port_Durnford_B044,2009,5,15.28540829
Nyalazi_B032,2009,6,12.68038728
Palm_Ridge_C15a,2009,6,12.2346478
Futululu_E6a,2009,6,12.82218405
Mtubatuba_B003,2009,6,12.82083785
Trust_D13,2009,6,12.38602874
Trust_E23,2009,6,12.83827799
Trust_E24,2009,6,12.82747627
Mavuya_B3a,2009,6,12.49304446
Salpine_G22,2009,6,12.96885045
Salpine_G33,2009,6,12.96868738
Salpine_F7,2009,6,12.4999951
Kwambo_F011A,2009,6,12.79418891
Nseleni_J006,2009,6,12.87283776
Terranera_B38,2009,6,12.69547812
South_Areas_B35b,2009,6,12.47784579
Kwambo_A017,2009,6,13.21194447
Teranera_C55,2009,6,12.81790864
Port_Durnford_B044,2009,6,12.9724967
Nyalazi_B032,2009,7,11.24482015
Palm_Ridge_C15a,2009,7,10.25680106
Futululu_E6a,2009,7,10.94918215
Mtubatuba_B003,2009,7,10.96913173
Trust_D13,2009,7,10.39285323
Trust_E23,2009,7,11.09861213
Trust_E24,2009,7,11.09456826
Mavuya_B3a,2009,7,10.91833061
Salpine_G22,2009,7,11.58897063
Salpine_G33,2009,7,11.39743939
Salpine_F7,2009,7,10.7427948
Kwambo_F011A,2009,7,10.97589385
Nseleni_J006,2009,7,11.09030831
Terranera_B38,2009,7,10.80879046
South_Areas_B35b,2009,7,10.59590285
Kwambo_A017,2009,7,11.59427545
Teranera_C55,2009,7,11.1318927
Port_Durnford_B044,2009,7,11.09170575
Nyalazi_B032,2009,8,13.36744647
Palm_Ridge_C15a,2009,8,12.45110422
Futululu_E6a,2009,8,13.18662756
Mtubatuba_B003,2009,8,13.26688688
Trust_D13,2009,8,12.38524599
Trust_E23,2009,8,13.1593535
Trust_E24,2009,8,13.16652315
Mavuya_B3a,2009,8,13.29967933
Salpine_G22,2009,8,13.69704954
Salpine_G33,2009,8,13.49018986
Salpine_F7,2009,8,13.14837885
Kwambo_F011A,2009,8,12.61606234
Nseleni_J006,2009,8,13.32407831
Terranera_B38,2009,8,12.48797131
South_Areas_B35b,2009,8,12.48958409
Kwambo_A017,2009,8,13.58270866
Teranera_C55,2009,8,13.35127699
Port_Durnford_B044,2009,8,12.85486654
Nyalazi_B032,2009,9,15.49091727
Palm_Ridge_C15a,2009,9,15.07222777
Futululu_E6a,2009,9,14.97827874
Mtubatuba_B003,2009,9,15.36417899
Trust_D13,2009,9,14.64544137
Trust_E23,2009,9,15.37018089
Trust_E24,2009,9,15.35569108
Mavuya_B3a,2009,9,15.53261939
Salpine_G22,2009,9,15.59503543
Salpine_G33,2009,9,15.52774674
Salpine_F7,2009,9,14.49777542
Kwambo_F011A,2009,9,14.54236581
Nseleni_J006,2009,9,15.41400308
Terranera_B38,2009,9,14.40124833
South_Areas_B35b,2009,9,14.45623962
Kwambo_A017,2009,9,15.02920368
Teranera_C55,2009,9,15.40343317
Port_Durnford_B044,2009,9,14.68822028
Nyalazi_B032,2009,10,17.59818358
Palm_Ridge_C15a,2009,10,17.89904283
Futululu_E6a,2009,10,17.92723507
Mtubatuba_B003,2009,10,17.64595839
Trust_D13,2009,10,17.43625798
Trust_E23,2009,10,17.62940562
Trust_E24,2009,10,17.64368328
Mavuya_B3a,2009,10,17.89895874
Salpine_G22,2009,10,17.76330451
Salpine_G33,2009,10,17.41422818
Salpine_F7,2009,10,18.31745042
Kwambo_F011A,2009,10,17.30470501
Nseleni_J006,2009,10,18.01308662
Terranera_B38,2009,10,16.86821517
South_Areas_B35b,2009,10,17.08812635
Kwambo_A017,2009,10,17.34772114
Teranera_C55,2009,10,18.03898625
Port_Durnford_B044,2009,10,17.63567473
Nyalazi_B032,2009,11,17.91241873
Palm_Ridge_C15a,2009,11,18.08701888
Futululu_E6a,2009,11,18.15708365
Mtubatuba_B003,2009,11,17.82021493
Trust_D13,2009,11,17.55392574
Trust_E23,2009,11,17.76084462
Trust_E24,2009,11,17.80304164
Mavuya_B3a,2009,11,18.23581583
Salpine_G22,2009,11,18.11020322
Salpine_G33,2009,11,17.58271251
Salpine_F7,2009,11,18.59110071
Kwambo_F011A,2009,11,17.35745788
Nseleni_J006,2009,11,18.24389804
Terranera_B38,2009,11,16.92784002
South_Areas_B35b,2009,11,17.18110864
Kwambo_A017,2009,11,17.46593086
Teranera_C55,2009,11,18.27304334
Port_Durnford_B044,2009,11,17.73486207
Nyalazi_B032,2009,12,20.01907194
Palm_Ridge_C15a,2009,12,20.2767024
Futululu_E6a,2009,12,19.96981646
Mtubatuba_B003,2009,12,19.93959297
Trust_D13,2009,12,20.17792428
Trust_E23,2009,12,19.66250587
Trust_E24,2009,12,19.67883754
Mavuya_B3a,2009,12,20.28612309
Salpine_G22,2009,12,19.96802997
Salpine_G33,2009,12,19.58689298
Salpine_F7,2009,12,19.86618062
Kwambo_F011A,2009,12,19.38402409
Nseleni_J006,2009,12,19.89583892
Terranera_B38,2009,12,19.38001858
South_Areas_B35b,2009,12,19.7033336
Kwambo_A017,2009,12,19.39299226
Teranera_C55,2009,12,19.68789175
Port_Durnford_B044,2009,12,19.22878774
Nyalazi_B032,2010,1,21.03418891
Palm_Ridge_C15a,2010,1,21.17777277
Futululu_E6a,2010,1,21.27103909
Mtubatuba_B003,2010,1,21.20089734
Trust_D13,2010,1,21.08123653
Trust_E23,2010,1,21.1451917
Trust_E24,2010,1,21.14842202
Mavuya_B3a,2010,1,21.22627532
Salpine_G22,2010,1,21.41954748
Salpine_G33,2010,1,21.0965922
Salpine_F7,2010,1,21.86152419
Kwambo_F011A,2010,1,21.07643887
Nseleni_J006,2010,1,21.37965928
Terranera_B38,2010,1,20.72140767
South_Areas_B35b,2010,1,20.91370294
Kwambo_A017,2010,1,21.07986069
Teranera_C55,2010,1,21.45158868
Port_Durnford_B044,2010,1,21.24847553
Nyalazi_B032,2010,2,21.12771694
Palm_Ridge_C15a,2010,2,21.26474288
Futululu_E6a,2010,2,21.41751472
Mtubatuba_B003,2010,2,21.32986046
Trust_D13,2010,2,21.21164496
Trust_E23,2010,2,21.26742277
Trust_E24,2010,2,21.26959089
Mavuya_B3a,2010,2,21.31073292
Salpine_G22,2010,2,21.56186451
Salpine_G33,2010,2,21.22332309
Salpine_F7,2010,2,22.06852283
Kwambo_F011A,2010,2,21.27421172
Nseleni_J006,2010,2,21.60332959
Terranera_B38,2010,2,20.90370862
South_Areas_B35b,2010,2,21.11637088
Kwambo_A017,2010,2,21.36366934
Teranera_C55,2010,2,21.75081736
Port_Durnford_B044,2010,2,21.56059518
Nyalazi_B032,2010,3,20.62801442
Palm_Ridge_C15a,2010,3,20.72405004
Futululu_E6a,2010,3,20.6831495
Mtubatuba_B003,2010,3,20.56833871
Trust_D13,2010,3,20.63756466
Trust_E23,2010,3,20.54252969
Trust_E24,2010,3,20.5174098
Mavuya_B3a,2010,3,20.7942336
Salpine_G22,2010,3,21.00058341
Salpine_G33,2010,3,20.60039762
Salpine_F7,2010,3,21.44002273
Kwambo_F011A,2010,3,20.60044372
Nseleni_J006,2010,3,20.76200672
Terranera_B38,2010,3,20.20347989
South_Areas_B35b,2010,3,20.38508686
Kwambo_A017,2010,3,20.63546208
Teranera_C55,2010,3,20.83171972
Port_Durnford_B044,2010,3,20.73162933
Nyalazi_B032,2010,4,18.91346179
Palm_Ridge_C15a,2010,4,18.83211483
Futululu_E6a,2010,4,19.03940727
Mtubatuba_B003,2010,4,18.92512637
Trust_D13,2010,4,18.78355738
Trust_E23,2010,4,18.75341029
Trust_E24,2010,4,18.85811419
Mavuya_B3a,2010,4,19.08313838
Salpine_G22,2010,4,19.18650557
Salpine_G33,2010,4,18.78626005
Salpine_F7,2010,4,19.41555456
Kwambo_F011A,2010,4,18.69624752
Nseleni_J006,2010,4,19.11667588
Terranera_B38,2010,4,18.62640566
South_Areas_B35b,2010,4,18.77415694
Kwambo_A017,2010,4,19.01383952
Teranera_C55,2010,4,19.22364538
Port_Durnford_B044,2010,4,18.81634776
Nyalazi_B032,2010,5,15.75901
Palm_Ridge_C15a,2010,5,15.47734625
Futululu_E6a,2010,5,15.62758167
Mtubatuba_B003,2010,5,15.70147902
Trust_D13,2010,5,15.48774859
Trust_E23,2010,5,15.69901212
Trust_E24,2010,5,15.65683355
Mavuya_B3a,2010,5,15.57578964
Salpine_G22,2010,5,16.24876116
Salpine_G33,2010,5,16.12553251
Salpine_F7,2010,5,15.62194378
Kwambo_F011A,2010,5,15.65521314
Nseleni_J006,2010,5,15.645697
Terranera_B38,2010,5,15.54139476
South_Areas_B35b,2010,5,15.37097867
Kwambo_A017,2010,5,16.00049586
Teranera_C55,2010,5,15.47889488
Port_Durnford_B044,2010,5,15.73861218
Nyalazi_B032,2010,6,12.09197354
Palm_Ridge_C15a,2010,6,11.60768001
Futululu_E6a,2010,6,12.25861451
Mtubatuba_B003,2010,6,12.29001219
Trust_D13,2010,6,11.59954305
Trust_E23,2010,6,12.04954495
Trust_E24,2010,6,12.04792506
Mavuya_B3a,2010,6,11.69310495
Salpine_G22,2010,6,12.35743845
Salpine_G33,2010,6,11.89119382
Salpine_F7,2010,6,11.99929741
Kwambo_F011A,2010,6,12.26138846
Nseleni_J006,2010,6,11.88467619
Terranera_B38,2010,6,11.75348293
South_Areas_B35b,2010,6,11.59775316
Kwambo_A017,2010,6,12.79144113
Teranera_C55,2010,6,11.66224001
Port_Durnford_B044,2010,6,12.40414955
Nyalazi_B032,2010,7,12.31894922
Palm_Ridge_C15a,2010,7,11.84209594
Futululu_E6a,2010,7,12.50939959
Mtubatuba_B003,2010,7,12.51331546
Trust_D13,2010,7,11.85735111
Trust_E23,2010,7,12.2757598
Trust_E24,2010,7,12.28433414
Mavuya_B3a,2010,7,11.90002892
Salpine_G22,2010,7,12.59310144
Salpine_G33,2010,7,12.05429341
Salpine_F7,2010,7,12.21813194
Kwambo_F011A,2010,7,12.45989527
Nseleni_J006,2010,7,12.16986157
Terranera_B38,2010,7,11.93111512
South_Areas_B35b,2010,7,11.83732099
Kwambo_A017,2010,7,12.94952678
Teranera_C55,2010,7,11.89644579
Port_Durnford_B044,2010,7,12.59648825
Nyalazi_B032,2010,8,12.37274314
Palm_Ridge_C15a,2010,8,11.90636408
Futululu_E6a,2010,8,12.57105562
Mtubatuba_B003,2010,8,12.56815033
Trust_D13,2010,8,11.93113307
Trust_E23,2010,8,12.32414826
Trust_E24,2010,8,12.33492939
Mavuya_B3a,2010,8,11.96367242
Salpine_G22,2010,8,12.65586259
Salpine_G33,2010,8,12.10240038
Salpine_F7,2010,8,12.30040287
Kwambo_F011A,2010,8,12.53990933
Nseleni_J006,2010,8,12.21019259
Terranera_B38,2010,8,11.9904759
South_Areas_B35b,2010,8,11.89627044
Kwambo_A017,2010,8,13.03931974
Teranera_C55,2010,8,11.94137017
Port_Durnford_B044,2010,8,12.70367129
Nyalazi_B032,2010,9,16.32962938
Palm_Ridge_C15a,2010,9,15.61528457
Futululu_E6a,2010,9,16.06719915
Mtubatuba_B003,2010,9,16.34246254
